City,Population,Violent_crime,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Eden,"14,773",88,4,9,9,66,513,154,339,20,3
Edenton,"4,631",39,2,3,5,29,145,37,99,9,0
Elizabeth City,"17,424",89,1,10,16,62,762,243,468,51,3
Elizabethtown,"3,447",17,0,2,0,15,225,47,168,10,0
Elon,"12,214",8,0,1,3,4,82,34,44,4,0
Enfield,"2,288",23,0,0,6,17,65,21,37,7,3
Erwin,"5,148",10,0,2,3,5,109,40,66,3,1
Fair Bluff,882,1,0,1,0,0,14,2,12,0,0
Fairmont,"2,601",14,0,4,2,8,125,31,88,6,1
Farmville,"4,679",27,0,4,4,19,183,38,140,5,0
Fayetteville,"209,614","1,835",24,117,281,"1,413","7,391","1,365","5,641",385,59
Forest City,"7,116",34,1,3,8,22,585,207,357,21,1
Four Oaks,"2,224",7,0,0,1,6,35,1,32,2,0
Fuquay-Varina,"30,977",26,0,3,10,13,295,48,234,13,0
Garner,"31,137",79,2,7,27,43,"1,076",110,912,54,3
Gibsonville,"7,356",17,0,5,2,10,136,84,46,6,2
Goldsboro,"34,085",267,2,7,50,208,"1,985",380,"1,506",99,3
Granite Falls,"4,629",4,0,0,2,2,332,124,191,17,1
Greensboro,"298,025","2,440",43,113,621,"1,663","10,994","2,215","7,792",987,90
Greenville,"94,193",437,5,17,94,321,"2,837",415,"2,308",114,11
Havelock,"20,128",52,0,11,6,35,536,146,376,14,5
Haw River,"2,525",5,0,0,1,4,46,12,29,5,1
Henderson,"14,883",242,8,9,30,195,828,211,576,41,10
Hendersonville,"14,234",61,2,9,17,33,680,124,515,41,2
Hertford,"2,109",13,0,1,5,7,75,25,47,3,2
Hickory,"41,040",165,4,16,39,106,"1,793",235,"1,410",148,6
Highlands,974,4,0,2,0,2,69,23,43,3,1
High Point,"113,307",828,19,44,133,632,"3,726",621,"2,705",400,18
Hillsborough,"7,321",38,0,1,11,26,392,30,350,12,0
Holly Ridge,"2,829",9,0,1,4,4,86,50,31,5,0
Holly Springs,"38,577",25,1,7,1,16,256,22,225,9,1
Hope Mills,"15,878",111,1,5,22,83,773,94,655,24,2
Hudson,"3,704",8,0,0,1,7,89,11,76,2,1
Huntersville,"58,512",79,1,4,23,51,948,114,769,65,0
Indian Beach,119,0,0,0,0,0,21,2,19,0,0
Kannapolis,"50,725",132,1,20,36,75,"1,154",182,872,100,2
Kenansville,855,2,0,1,1,0,9,3,6,0,0
Kernersville,"24,980",65,0,8,20,37,"1,141",113,989,39,3
Kill Devil Hills,"7,268",19,0,5,2,12,281,55,219,7,0
King,"6,878",9,2,0,2,5,222,14,207,1,1
Kings Mountain,"10,965",15,1,3,5,6,343,67,246,30,0
Kitty Hawk,"3,563",4,0,2,1,1,127,17,109,1,0
