City,Population,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Violent_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Property_crime_total,total_crime,crime_index,is_safe
Kernersville,24980,0,8,20,37,65,113,989,39,3,1141,1206,4.82,1
Kill Devil Hills,7268,0,5,2,12,19,55,219,7,0,281,300,4.12,1
King,6878,2,0,2,5,9,14,207,1,1,222,231,3.35,1
Kings Mountain,10965,1,3,5,6,15,67,246,30,0,343,358,3.26,1
Kitty Hawk,3563,0,2,1,1,4,17,109,1,0,127,131,3.67,1
Knightdale,18351,0,10,9,23,42,23,285,18,1,326,368,2.00,1
Laurinburg,14928,3,5,27,125,160,386,328,48,28,762,922,6.17,0
Lenoir,17904,0,17,13,48,78,234,476,89,3,799,877,4.89,1
Lexington,18917,2,1,27,91,121,149,627,36,3,812,933,4.93,1
Long View,4921,0,2,0,3,5,20,55,13,0,88,93,1.88,1
Louisburg,3549,0,2,5,16,23,30,116,3,1,149,172,4.84,1
Lowell,3709,0,2,0,7,9,5,18,13,0,36,45,1.21,1
Maggie Valley,1230,0,1,0,13,14,50,45,8,0,103,117,9.51,0
Manteo,1453,0,0,1,4,5,4,28,2,0,34,39,2.68,1
Marion,7837,0,1,1,10,12,95,301,23,0,419,431,5.49,0
Marshville,2748,0,3,3,10,16,67,58,5,0,130,146,5.31,0
Matthews,33372,3,8,18,29,58,111,959,42,0,1112,1170,3.50,1
Maysville,955,0,0,0,0,0,4,4,0,0,8,8,0.83,1
Mebane,16203,0,5,9,31,45,53,611,27,1,691,736,4.54,1
Middlesex,824,0,0,0,0,0,3,7,2,0,12,12,1.45,1
Mint Hill,27776,4,8,11,36,59,67,268,48,3,383,442,1.59,1
Mocksville,5322,0,5,4,5,14,16,90,3,4,109,123,2.31,1
Monroe,35630,2,37,70,223,332,343,1407,131,9,1881,2213,6.21,0
Mooresville,38967,1,11,9,44,65,81,913,56,8,1050,1115,2.86,1
Morehead City,9721,0,1,2,25,28,0,380,14,1,395,28,0.28,1
Morganton,16524,1,13,4,64,82,182,402,29,1,613,695,4.20,1
Morrisville,28796,0,1,2,9,12,39,324,16,2,379,391,1.35,1
Mount Olive,4652,0,1,8,19,28,27,100,5,0,132,160,3.43,1
Murfreesboro,3072,0,1,4,0,5,28,43,3,0,74,79,2.57,1
Murphy,1657,0,2,1,12,15,43,68,8,0,119,134,8.08,0
Nags Head,2963,2,2,1,13,18,23,81,3,1,107,125,4.21,1
New Bern,30187,0,5,21,99,125,195,787,17,5,999,1124,3.72,1
Newland,684,0,1,0,0,1,2,10,5,0,17,18,2.63,1
Newport,4666,0,3,0,4,7,10,38,3,0,51,58,1.24,1
Newton,13153,0,6,8,32,46,97,338,23,2,458,504,3.83,1
North Wilkesboro,4220,0,1,4,11,16,3,114,14,0,131,147,3.48,1
Oak Island,8244,0,3,1,11,15,28,99,8,0,135,150,1.81,1
Ocean Isle Beach,644,0,2,0,1,3,16,27,1,0,44,47,7.29,0
Oxford,8851,4,0,15,72,91,31,190,10,2,231,322,3.63,1
Pinehurst,16522,1,4,0,6,11,22,87,4,0,113,124,0.75,1
Pine Level,2016,0,2,1,5,8,5,19,1,1,25,33,1.63,1
Pineville,9088,1,4,21,42,68,115,956,60,3,1131,1199,13.19,0
Pittsboro,4359,0,2,2,22,26,19,61,2,1,82,108,2.47,1
Plymouth,3400,1,4,4,28,37,57,68,14,2,139,176,5.17,0
Princeton,1402,0,0,0,0,0,4,11,1,0,16,16,1.14,1
Raeford,5001,2,3,4,8,17,23,78,6,0,107,124,2.47,1
Raleigh,477828,5,164,322,731,1222,1200,6572,748,36,8520,9742,2.03,1
Red Springs,3341,1,2,6,43,52,57,128,12,3,197,249,7.45,0
Reidsville,13959,0,7,19,79,105,121,704,65,2,890,995,7.12,0
Roanoke Rapids,14354,4,8,32,84,128,166,518,22,1,706,834,5.81,0
Robersonville,1348,0,1,2,6,9,12,20,3,0,35,44,3.26,1
Rockingham,8687,1,6,13,19,39,146,269,16,3,431,470,5.41,0
Rockwell,2151,0,2,1,4,7,4,24,2,0,30,37,1.72,1
Rocky Mount,53827,16,20,103,285,424,420,1098,109,9,1627,2051,3.81,1
Rowland,1002,1,2,2,3,8,13,29,3,1,45,53,5.28,0
Roxboro,8299,1,3,12,45,61,89,269,7,3,365,426,5.13,0
Rutherfordton,4047,0,0,0,0,0,1,142,2,0,145,145,3.58,1
Salisbury,33877,2,15,69,163,249,220,1094,99,9,1413,1662,4.90,1
Selma,7018,1,3,9,42,55,36,138,30,0,204,259,3.69,1
Shallotte,4396,2,1,3,3,9,31,277,7,0,315,324,7.37,0
Siler City,8237,1,13,10,43,67,44,255,26,1,325,392,4.75,1
Smithfield,12882,2,5,15,49,71,56,387,18,1,461,532,4.12,1
Snow Hill,1513,0,1,0,4,5,24,34,0,0,58,63,4.16,1
Southern Pines,14524,1,3,11,31,46,57,295,14,2,366,412,2.83,1
Southern Shores,2940,0,1,0,0,1,7,11,1,0,19,20,0.68,1
Southport,3961,0,3,0,1,4,6,90,1,0,97,101,2.54,1
Spencer,3238,0,1,5,5,11,17,48,8,0,73,84,2.59,1
Stallings,16173,0,5,2,13,20,43,139,17,1,199,219,1.35,1
Sugar Mountain,197,0,0,0,0,0,3,5,0,0,8,8,4.06,1
Swansboro,3354,1,0,0,1,2,16,106,5,0,127,129,3.84,1
Sylva,2742,0,3,0,6,9,14,127,8,0,149,158,5.76,0
Troutman,2755,0,2,2,0,4,16,49,2,0,67,71,2.57,1
Troy,3326,0,0,3,16,19,30,63,5,0,98,117,3.51,1
Valdese,4435,0,0,0,15,15,12,44,11,0,67,82,1.84,1
Wadesboro,5228,0,6,16,77,99,77,247,12,4,336,435,8.32,0
Wake Forest,46145,1,3,4,16,24,33,344,16,0,393,417,0.90,1
